Player,Team,Position,Points,Goals,Assists,Minutes,Goals Conceded,Bonus,BPS,Clean Sheets,Yellows,Reds
Kayembe,Watford,MID,24,0,0,795,17,1,127,2,0,0
Sema,Watford,MID,26,0,0,844,16,0,81,2,1,0
Ngakia,Watford,DEF,28,0,0,896,19,2,154,2,0,0
Masina,Watford,DEF,25,0,1,1075,26,2,179,1,0,0
Bachmann,Watford,GK,25,0,0,1080,28,0,196,0,0,0
Kabasele,Watford,DEF,21,0,0,1190,30,0,163,1,0,0
Troost-Ekong,Watford,DEF,18,0,0,1388,30,0,171,0,3,0
Louza,Watford,MID,31,0,0,1415,38,0,173,3,6,0
Cleverley,Watford,MID,48,0,2,1611,38,0,209,2,2,0
Samir,Watford,DEF,36,0,0,1674,36,0,272,4,4,0
Femenia,Watford,DEF,53,0,5,2143,49,1,385,2,2,0
Foster,Watford,GK,81,0,1,2340,49,9,433,4,0,0
Cathcart,Watford,DEF,50,0,1,2394,55,1,393,3,3,0
Bowen,West Ham,MID,206,12,17,2987,46,24,586,8,6,0
Antonio,West Ham,FWD,140,10,10,2975,43,14,441,7,6,1
Benrahma,West Ham,MID,138,8,6,2162,27,15,441,9,0,0
Fornals,West Ham,MID,117,6,4,2795,38,5,480,8,4,0
Lanzini,West Ham,MID,92,5,3,1777,29,8,440,4,2,0
Soucek,West Ham,MID,114,5,1,3061,46,14,485,6,3,0
Cresswell,West Ham,DEF,115,2,4,2726,38,17,578,7,3,0
Dawson,West Ham,DEF,90,2,3,2752,43,1,466,6,4,1
Yarmolenko,West Ham,MID,25,1,0,303,4,0,73,1,1,0
Noble,West Ham,MID,19,1,0,325,5,1,76,1,0,0
Vlasic,West Ham,MID,30,1,0,549,10,0,98,1,0,0
Masuaku,West Ham,DEF,29,1,1,645,12,3,145,1,1,0
Ogbonna,West Ham,DEF,40,1,0,921,11,6,182,3,1,0
Johnson,West Ham,DEF,48,1,0,1397,18,1,235,3,1,0
Zouma,West Ham,DEF,66,1,0,2078,29,5,388,5,1,0
Rice,West Ham,MID,95,1,4,3178,49,7,595,8,8,0
Kral,West Ham,MID,1,0,0,1,0,0,3,0,0,0
Chesters,West Ham,MID,1,0,0,1,0,0,3,0,0,0
Perkins,West Ham,MID,1,0,0,3,0,0,3,0,0,0
Ashby,West Ham,DEF,1,0,0,6,1,0,4,0,0,0
Areola,West Ham,GK,2,0,0,90,1,0,11,0,0,0
Fredericks,West Ham,DEF,7,0,0,303,6,0,38,0,1,0
Diop,West Ham,DEF,30,0,1,961,19,2,203,2,0,0
Coufal,West Ham,DEF,70,0,4,2207,36,3,384,6,3,1
Fabianski,West Ham,GK,136,0,0,3330,50,9,661,8,2,0
Jimenez,Wolves,FWD,101,6,5,2630,32,11,266,11,5,2
Hwang,Wolves,FWD,81,5,1,1811,22,11,288,7,2,0
Neves,Wolves,MID,95,4,2,2659,34,7,509,9,9,0
Coady,Wolves,DEF,138,4,0,3361,43,10,688,11,4,0
Castro,Wolves,DEF,38,2,0,1022,22,2,178,2,1,0
Trincao,Wolves,MID,66,2,1,1328,15,2,197,7,0,0
Podence,Wolves,MID,70,2,3,1475,12,2,257,9,2,0
Dendoncker,Wolves,MID,76,2,3,1945,29,5,308,5,4,0
Saiss,Wolves,DEF,109,2,0,2706,30,6,540,11,6,0
Moutinho,Wolves,MID,96,2,1,2970,40,8,511,11,4,0
Neto,Wolves,MID,22,1,1,459,14,0,88,0,3,0
Traore,Wolves,MID,44,1,1,1069,10,0,168,5,0,0
Ait Nouri,Wolves,DEF,87,1,4,1826,26,10,367,7,4,0
Kilman,Wolves,DEF,106,1,1,2688,25,5,536,10,3,0
Gibbs-White,Wolves,MID,1,0,0,7,0,0,0,0,1,0
Campbell,Wolves,MID,1,0,0,12,0,0,5,0,0,0
Ruddy,Wolves,GK,3,0,0,135,3,0,20,0,0,0
Cundle,Wolves,MID,7,0,0,179,1,0,32,1,0,0
Oliveira,Wolves,MID,20,0,3,203,5,2,67,0,0,0
Hoever,Wolves,DEF,14,0,0,306,5,0,56,1,1,0
Gomes,Wolves,DEF,6,0,0,360,6,0,52,0,1,0
Silva,Wolves,FWD,30,0,1,562,7,0,43,0,0,0
Boly,Wolves,DEF,17,0,0,900,20,0,165,1,1,0
Marcal,Wolves,DEF,67,0,3,1448,14,5,295,6,3,0
Semedo,Wolves,DEF,94,0,1,2131,18,9,412,9,1,0
Sa,Wolves,GK,146,0,1,3285,40,11,722,11,3,0
