Understat_ID,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,now_cost,selected_by_percent,final_cost
2958,0,0,69,1473,14,295.7,272,134,5,353,70.3,8,0,0,55,2.2,53
8961,1,1,142,2843,21,91,651.6,218,12,656,96.3,17,0,4,60,25.7,62
1687,2,2,124,3047,36,133.6,701.4,428,8,632,126.3,13,0,11,55,9.1,54
1006,1,5,124,2653,33,1085.9,596,243,22,640,192.8,10,0,8,55,46,50
934,0,0,7,402,8,6,95,0,0,59,10,0,0,2,45,0.1,44
6080,1,1,102,2585,30,102.6,503,56,3,527,66.4,10,0,0,50,0.7,48
1739,0,0,31,915,17,8.3,175.6,26,6,178,21.1,3,0,3,50,0.2,49
5584,2,5,144,3060,36,498.2,785.4,159,11,729,144.1,13,0,3,55,11.6,51
8075,0,0,5,187,3,19.4,26.6,19,0,26,6.5,0,0,0,40,4.8,39
1828,0,2,25,689,11,200.7,168.6,33,3,149,40.1,1,0,0,50,0.2,49
708,0,0,53,2080,38,91.3,522,64,6,376,67.5,5,0,4,45,0.1,43
875,1,0,46,1890,35,29.8,402.6,105,2,291,53.9,3,0,3,45,0.2,44
766,2,0,44,1625,32,38.1,345.2,161,3,229,54.7,2,0,4,45,0.5,44
853,1,0,40,1254,20,68.1,274.4,45,2,204,38.8,3,0,2,45,0.2,45
1719,0,0,28,822,15,93.5,109.8,18,0,136,22.2,3,0,1,40,11.8,39
1545,1,1,45,1286,27,87.7,240.4,88,0,222,41.6,5,0,4,45,0.1,43
76,1,0,30,1255,21,9,251,116,1,160,37.6,2,1,4,45,0.3,41
7691,0,1,44,1833,37,224.8,272.6,47,3,261,54.2,3,0,4,45,0.3,42
6369,0,0,44,2087,41,189.6,458,51,4,341,70.1,2,0,3,45,0.2,45
835,0,2,78,2598,51,271.8,306.8,135,4,404,71.4,8,0,5,50,0.2,46
1735,0,0,41,1537,39,85.6,351,104,6,288,54.2,4,0,2,45,0.2,44
111,3,1,86,2574,47,102.1,671.8,294,4,494,106.7,6,1,3,50,1,47
885,0,3,93,2646,41,262.2,497.6,316,7,498,107.5,9,0,4,50,1,48
6042,1,1,94,3100,62,75,692,164,11,584,93.1,9,1,5,45,1.5,44
6923,0,0,14,841,19,29.9,188.2,34,0,119,25.4,0,0,1,45,0.2,45
641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,1.3,42
639,1,0,88,2240,25,106.5,559.8,178,4,469,84.6,10,0,2,50,0.7,50
3600,2,3,80,1605,22,267.6,412.2,194,4,370,87.4,6,0,0,50,0.5,49
643,0,0,77,2520,34,82.2,577,114,2,463,77.4,8,0,3,45,1,47
660,0,2,52,1340,16,136.8,232.8,65,1,253,43.4,4,0,1,45,0.3,45
6249,0,0,43,1486,22,20,319.2,114,3,256,45.5,4,0,1,45,0.5,42
6837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0.2,44
8222,0,0,14,487,8,29.5,68.8,40,0,81,13.8,2,0,2,45,0,42
6852,0,2,47,1238,15,182.4,257.2,79,4,222,52,4,1,2,50,1.3,45
7187,0,6,89,2244,31,309.4,361.2,253,4,413,92.5,8,0,5,50,2.3,50
6377,0,0,27,732,12,3.6,166.2,6,3,169,17.7,2,0,0,45,0.3,42
528,3,0,100,2492,34,56.4,489.8,244,5,461,79.1,9,0,5,50,0.4,49
534,0,11,153,3170,41,898.6,669.4,96,21,730,166.8,11,0,3,55,19.3,54
6891,1,1,28,564,9,166.8,155.2,96,0,127,41.9,1,0,2,45,0.2,44
1760,0,2,42,1006,15,200.5,187.4,62,4,209,45,4,0,2,45,0.4,44
3203,2,0,42,1379,22,17.4,375.6,48,1,234,44.3,2,0,3,45,0.4,42
6424,1,0,25,516,10,63.7,98,28,0,104,18.9,1,0,1,40,2.8,39
8965,0,9,128,3054,43,670.9,693.8,220,12,625,158.7,9,0,3,50,16.6,47
804,3,0,75,1925,25,30.2,433.6,219,3,336,68.4,7,1,3,50,0.4,49
6850,1,1,68,1879,29,46.1,414,182,4,364,64.2,6,0,2,50,0.4,49
6851,1,0,106,3303,51,40.1,692.2,85,7,606,82,10,0,5,45,7.9,47
3491,3,0,99,2407,40,101.2,584.6,347,11,466,103.4,8,0,2,50,0.7,48
2280,0,0,16,496,4,31.8,61,14,1,58,10.8,1,0,0,45,0,45
7332,0,1,58,1307,11,67.4,249.6,78,8,258,39.4,5,0,4,45,0.3,45
5708,0,0,19,618,9,61.7,102.6,13,0,104,17.9,1,0,2,45,0.1,42
8351,0,0,13,573,11,59.7,100.4,26,0,80,18.7,0,0,1,40,2.2,39
6163,1,3,109,2983,45,412.9,595.2,297,11,548,130.7,9,0,5,50,1.7,48
6674,1,1,54,1400,23,234.5,243.2,196,6,264,67.4,3,0,1,45,0.9,41
